id,x,y,z,time,delay,type_delay,total_time,time_binned,wo_delay,material,service,rotation,system
1,220,95,0,44,0,0,44,Long,True,False,False,False,False
2,220,252,0,35,0,0,35,Short,True,False,False,False,False
3,220,440,0,36,109,1,145,Short,False,True,False,False,False
4,220,690,0,36,0,0,36,Short,True,False,False,False,False
5,220,940,0,34,0,0,34,Short,True,False,False,False,False
6,220,1190,0,34,62,2,96,Short,False,False,True,False,False
7,220,1440,0,34,0,0,34,Short,True,False,False,False,False
8,220,1690,0,33,0,0,33,Short,True,False,False,False,False
9,220,1940,0,36,0,0,36,Short,True,False,False,False,False
10,220,2190,0,42,0,0,42,Normal,True,False,False,False,False
11,220,2440,0,32,0,0,32,Very short,True,False,False,False,False
12,220,2690,0,35,0,0,35,Short,True,False,False,False,False
13,220,2940,0,32,0,0,32,Very short,True,False,False,False,False
14,220,3190,0,47,0,0,47,Long,True,False,False,False,False
15,220,3440,0,32,0,0,32,Very short,True,False,False,False,False
20,220,4690,0,40,200,1,240,Normal,False,True,False,False,False
21,565,220,0,42,0,0,42,Normal,True,False,False,False,False
22,815,220,0,46,0,0,46,Long,True,False,False,False,False
23,1065,220,0,48,0,0,48,Very long,True,False,False,False,False
24,1315,220,0,44,0,0,44,Long,True,False,False,False,False
25,1565,220,0,42,0,0,42,Normal,True,False,False,False,False
26,1815,220,0,45,0,0,45,Long,True,False,False,False,False
27,2065,220,0,44,0,0,44,Long,True,False,False,False,False
28,2315,220,0,45,0,0,45,Long,True,False,False,False,False
29,2565,220,0,46,0,0,46,Long,True,False,False,False,False
30,2815,220,0,46,0,0,46,Long,True,False,False,False,False
31,3065,220,0,52,198,4,250,Very long,False,False,False,False,True
32,3315,220,0,58,0,0,58,Extremely long,True,False,False,False,False
33,3565,220,0,53,0,0,53,Extremely long,True,False,False,False,False
34,3815,220,0,47,0,0,47,Long,True,False,False,False,False
35,4002,220,0,42,24,3,66,Normal,False,False,False,True,False
36,95,220,250,37,0,0,37,Short,True,False,False,False,False
37,252,220,250,37,0,0,37,Short,True,False,False,False,False
38,440,220,250,43,0,0,43,Long,True,False,False,False,False
39,690,220,250,42,0,0,42,Normal,True,False,False,False,False
40,940,220,250,41,0,0,41,Normal,True,False,False,False,False
41,1190,220,250,45,0,0,45,Long,True,False,False,False,False
42,1440,220,250,43,0,0,43,Long,True,False,False,False,False
43,1690,220,250,49,0,0,49,Very long,True,False,False,False,False
44,1940,220,250,46,0,0,46,Long,True,False,False,False,False
45,2190,220,250,45,0,0,45,Long,True,False,False,False,False
46,2440,220,250,46,0,0,46,Long,True,False,False,False,False
47,2690,220,250,48,0,0,48,Very long,True,False,False,False,False
48,2940,220,250,53,0,0,53,Extremely long,True,False,False,False,False
49,3190,220,250,46,0,0,46,Long,True,False,False,False,False
50,3440,220,250,50,0,0,50,Very long,True,False,False,False,False
51,3690,220,250,50,0,0,50,Very long,True,False,False,False,False
52,3940,220,250,45,24,3,69,Long,False,False,False,True,False
53,220,565,250,39,0,0,39,Normal,True,False,False,False,False
54,220,815,250,40,0,0,40,Normal,True,False,False,False,False
55,220,1065,250,43,0,0,43,Long,True,False,False,False,False
56,220,1315,250,39,0,0,39,Normal,True,False,False,False,False
57,220,1565,250,38,0,0,38,Normal,True,False,False,False,False
58,220,1815,250,39,0,0,39,Normal,True,False,False,False,False
59,220,2065,250,38,0,0,38,Normal,True,False,False,False,False
60,220,2315,250,41,0,0,41,Normal,True,False,False,False,False
61,220,2565,250,37,0,0,37,Short,True,False,False,False,False
62,220,2815,250,43,0,0,43,Long,True,False,False,False,False
63,220,3065,250,34,0,0,34,Short,True,False,False,False,False
64,220,3315,250,37,0,0,37,Short,True,False,False,False,False
65,220,3565,250,35,0,0,35,Short,True,False,False,False,False
66,220,3815,250,45,0,0,45,Long,True,False,False,False,False
67,220,4065,250,36,0,0,36,Short,True,False,False,False,False
68,220,4315,250,37,0,0,37,Short,True,False,False,False,False
69,220,4565,250,36,0,0,36,Short,True,False,False,False,False
70,220,95,500,55,0,0,55,Extremely long,True,False,False,False,False
71,220,252,500,36,0,0,36,Short,True,False,False,False,False
72,220,440,500,37,0,0,37,Short,True,False,False,False,False
73,220,690,500,38,0,0,38,Normal,True,False,False,False,False
74,220,940,500,38,0,0,38,Normal,True,False,False,False,False
75,220,1190,500,33,0,0,33,Short,True,False,False,False,False
76,220,1440,500,32,0,0,32,Very short,True,False,False,False,False
77,220,1690,500,33,23,2,56,Short,False,False,True,False,False
78,220,1940,500,33,30,1,63,Short,False,True,False,False,False
79,220,2190,500,33,0,0,33,Short,True,False,False,False,False
80,220,2440,500,28,0,0,28,Very short,True,False,False,False,False
81,220,2690,500,32,0,0,32,Very short,True,False,False,False,False
82,220,2940,500,30,0,0,30,Very short,True,False,False,False,False
83,220,3190,500,29,0,0,29,Very short,True,False,False,False,False
84,220,3440,500,29,0,0,29,Very short,True,False,False,False,False
85,220,3690,500,28,0,0,28,Very short,True,False,False,False,False
86,220,3940,500,26,0,0,26,Extremely short,True,False,False,False,False
87,220,4190,500,35,0,0,35,Short,True,False,False,False,False
88,220,4440,500,41,0,0,41,Normal,True,False,False,False,False
89,565,220,500,40,0,0,40,Normal,True,False,False,False,False
90,815,220,500,56,0,0,56,Extremely long,True,False,False,False,False
91,1065,220,500,42,0,0,42,Normal,True,False,False,False,False
92,1315,220,500,37,0,0,37,Short,True,False,False,False,False
93,1565,220,500,37,0,0,37,Short,True,False,False,False,False
94,1815,220,500,41,0,0,41,Normal,True,False,False,False,False
95,2065,220,500,40,0,0,40,Normal,True,False,False,False,False
96,2315,220,500,39,0,0,39,Normal,True,False,False,False,False
97,2565,220,500,42,0,0,42,Normal,True,False,False,False,False
98,2815,220,500,44,0,0,44,Long,True,False,False,False,False
99,3065,220,500,37,0,0,37,Short,True,False,False,False,False
100,3315,220,500,40,0,0,40,Normal,True,False,False,False,False
101,3565,220,500,39,0,0,39,Normal,True,False,False,False,False
102,3815,220,500,39,0,0,39,Normal,True,False,False,False,False
103,4002,220,500,46,14,3,60,Long,False,False,False,True,False
104,95,220,750,46,22,4,68,Long,False,False,False,False,True
105,252,220,750,53,0,0,53,Extremely long,True,False,False,False,False
106,440,220,750,35,0,0,35,Short,True,False,False,False,False
107,690,220,750,34,0,0,34,Short,True,False,False,False,False
108,940,220,750,33,0,0,33,Short,True,False,False,False,False
109,1190,220,750,38,0,0,38,Normal,True,False,False,False,False
110,1440,220,750,35,0,0,35,Short,True,False,False,False,False
111,1690,220,750,37,0,0,37,Short,True,False,False,False,False
112,1940,220,750,37,0,0,37,Short,True,False,False,False,False
113,2190,220,750,37,0,0,37,Short,True,False,False,False,False
114,2440,220,750,37,0,0,37,Short,True,False,False,False,False
115,2690,220,750,40,0,0,40,Normal,True,False,False,False,False
116,2940,220,750,52,0,0,52,Very long,True,False,False,False,False
117,3190,220,750,55,0,0,55,Extremely long,True,False,False,False,False
118,3440,220,750,41,0,0,41,Normal,True,False,False,False,False
119,3690,220,750,40,0,0,40,Normal,True,False,False,False,False
120,3940,220,750,38,29,3,67,Normal,False,False,False,True,False
121,220,565,750,36,0,0,36,Short,True,False,False,False,False
122,220,815,750,34,0,0,34,Short,True,False,False,False,False
123,220,1065,750,42,0,0,42,Normal,True,False,False,False,False
124,220,1315,750,34,0,0,34,Short,True,False,False,False,False
125,220,1565,750,32,0,0,32,Very short,True,False,False,False,False
126,220,1815,750,33,0,0,33,Short,True,False,False,False,False
127,220,2065,750,32,0,0,32,Very short,True,False,False,False,False
128,220,2315,750,31,0,0,31,Very short,True,False,False,False,False
129,220,2565,750,32,0,0,32,Very short,True,False,False,False,False
130,220,2815,750,30,0,0,30,Very short,True,False,False,False,False
131,220,3065,750,29,0,0,29,Very short,True,False,False,False,False
132,220,3315,750,31,0,0,31,Very short,True,False,False,False,False
133,220,3565,750,30,0,0,30,Very short,True,False,False,False,False
134,220,3815,750,36,0,0,36,Short,True,False,False,False,False
135,220,4065,750,32,0,0,32,Very short,True,False,False,False,False
136,220,4315,750,34,0,0,34,Short,True,False,False,False,False
137,220,95,1000,28,0,0,28,Very short,True,False,False,False,False
138,220,252,1000,26,0,0,26,Extremely short,True,False,False,False,False
139,220,440,1000,30,0,0,30,Very short,True,False,False,False,False
140,220,690,1000,24,0,0,24,Extremely short,True,False,False,False,False
141,220,940,1000,24,24,3,48,Extremely short,False,False,False,True,False
142,220,3190,1000,24,0,0,24,Extremely short,True,False,False,False,False
143,220,3440,1000,22,0,0,22,Extremely short,True,False,False,False,False
144,220,3690,1000,26,0,0,26,Extremely short,True,False,False,False,False
145,220,3940,1000,24,0,0,24,Extremely short,True,False,False,False,False
146,220,4190,1000,24,0,0,24,Extremely short,True,False,False,False,False
147,565,220,1000,31,0,0,31,Very short,True,False,False,False,False
148,815,220,1000,32,0,0,32,Very short,True,False,False,False,False
149,1065,220,1000,31,0,0,31,Very short,True,False,False,False,False
150,1315,220,1000,29,0,0,29,Very short,True,False,False,False,False
151,1565,220,1000,33,0,0,33,Short,True,False,False,False,False
152,1815,220,1000,32,0,0,32,Very short,True,False,False,False,False
153,2065,220,1000,35,0,0,35,Short,True,False,False,False,False
154,2315,220,1000,37,0,0,37,Short,True,False,False,False,False
155,2565,220,1000,37,0,0,37,Short,True,False,False,False,False
156,2815,220,1000,28,0,0,28,Very short,True,False,False,False,False
157,3065,220,1000,30,53,1,83,Very short,False,True,False,False,False
158,3315,220,1000,33,0,0,33,Short,True,False,False,False,False
159,3565,220,1000,33,0,0,33,Short,True,False,False,False,False
160,3815,220,1000,36,0,0,36,Short,True,False,False,False,False
161,4002,220,1000,33,19,3,52,Short,False,False,False,True,False
162,95,220,1250,29,0,0,29,Very short,True,False,False,False,False
163,252,220,1250,27,0,0,27,Extremely short,True,False,False,False,False
164,440,220,1250,34,0,0,34,Short,True,False,False,False,False
165,690,220,1250,33,25,1,58,Short,False,True,False,False,False
166,940,220,1250,31,0,0,31,Very short,True,False,False,False,False
167,1190,220,1250,31,0,0,31,Very short,True,False,False,False,False
168,1440,220,1250,34,0,0,34,Short,True,False,False,False,False
169,1690,220,1250,30,0,0,30,Very short,True,False,False,False,False
170,1940,220,1250,30,0,0,30,Very short,True,False,False,False,False
171,2190,220,1250,33,0,0,33,Short,True,False,False,False,False
172,2440,220,1250,34,0,0,34,Short,True,False,False,False,False
173,2690,220,1250,31,0,0,31,Very short,True,False,False,False,False
174,2940,220,1250,35,99,2,134,Short,False,False,True,False,False
175,3190,220,1250,38,0,0,38,Normal,True,False,False,False,False
179,220,565,1250,30,0,0,30,Very short,True,False,False,False,False
180,220,815,1250,33,0,0,33,Short,True,False,False,False,False
181,220,1002,1250,31,11,3,42,Very short,False,False,False,True,False
182,220,3127,1250,28,0,0,28,Very short,True,False,False,False,False
183,220,3315,1250,28,0,0,28,Very short,True,False,False,False,False
184,220,3565,1250,26,0,0,26,Extremely short,True,False,False,False,False
185,220,3815,1250,27,0,0,27,Extremely short,True,False,False,False,False
186,220,4065,1250,26,0,0,26,Extremely short,True,False,False,False,False
187,220,95,1500,36,260,4,296,Short,False,False,False,False,True
188,220,252,1500,46,0,0,46,Long,True,False,False,False,False
189,220,440,1500,40,58,1,98,Normal,False,True,False,False,False
190,220,690,1500,33,0,0,33,Short,True,False,False,False,False
191,220,940,1500,30,15,3,45,Very short,False,False,False,True,False
192,220,3190,1500,26,0,0,26,Extremely short,True,False,False,False,False
193,220,3440,1500,30,0,0,30,Very short,True,False,False,False,False
194,220,3690,1500,31,0,0,31,Very short,True,False,False,False,False
195,220,3940,1500,35,0,0,35,Short,True,False,False,False,False
196,565,220,1500,37,0,0,37,Short,True,False,False,False,False
197,815,220,1500,41,0,0,41,Normal,True,False,False,False,False
198,1065,220,1500,38,0,0,38,Normal,True,False,False,False,False
199,1315,220,1500,36,0,0,36,Short,True,False,False,False,False
200,1565,220,1500,34,0,0,34,Short,True,False,False,False,False
201,1815,220,1500,34,0,0,34,Short,True,False,False,False,False
202,2065,220,1500,37,0,0,37,Short,True,False,False,False,False
203,2315,220,1500,38,0,0,38,Normal,True,False,False,False,False
204,2565,220,1500,37,0,0,37,Short,True,False,False,False,False
205,2815,220,1500,37,0,0,37,Short,True,False,False,False,False
206,3065,220,1500,41,0,0,41,Normal,True,False,False,False,False
207,3315,220,1500,42,0,0,42,Normal,True,False,False,False,False
208,3565,220,1500,49,0,0,49,Very long,True,False,False,False,False
209,3815,220,1500,42,0,0,42,Normal,True,False,False,False,False
210,4002,220,1500,38,13,3,51,Normal,False,False,False,True,False
211,95,220,1750,34,0,0,34,Short,True,False,False,False,False
212,252,220,1750,31,0,0,31,Very short,True,False,False,False,False
213,440,220,1750,32,0,0,32,Very short,True,False,False,False,False
214,690,220,1750,31,0,0,31,Very short,True,False,False,False,False
215,940,220,1750,30,0,0,30,Very short,True,False,False,False,False
216,1190,220,1750,34,0,0,34,Short,True,False,False,False,False
217,1440,220,1750,34,0,0,34,Short,True,False,False,False,False
218,1690,220,1750,32,0,0,32,Very short,True,False,False,False,False
219,1940,220,1750,35,0,0,35,Short,True,False,False,False,False
220,2190,220,1750,35,0,0,35,Short,True,False,False,False,False
221,2440,220,1750,34,0,0,34,Short,True,False,False,False,False
222,2690,220,1750,41,0,0,41,Normal,True,False,False,False,False
223,2940,220,1750,38,0,0,38,Normal,True,False,False,False,False
224,3190,220,1750,40,0,0,40,Normal,True,False,False,False,False
225,3440,220,1750,37,0,0,37,Short,True,False,False,False,False
226,3690,220,1750,34,0,0,34,Short,True,False,False,False,False
227,3940,220,1750,35,81,2,116,Short,False,False,True,False,False
228,220,565,1750,36,0,0,36,Short,True,False,False,False,False
229,220,815,1750,31,0,0,31,Very short,True,False,False,False,False
230,220,1002,1750,28,19,3,47,Very short,False,False,False,True,False
231,220,3127,1750,24,0,0,24,Extremely short,True,False,False,False,False
232,220,3315,1750,27,0,0,27,Extremely short,True,False,False,False,False
233,220,3565,1750,28,0,0,28,Very short,True,False,False,False,False
234,220,3815,1750,27,0,0,27,Extremely short,True,False,False,False,False
235,220,95,2000,43,0,0,43,Long,True,False,False,False,False
236,220,252,2000,54,0,0,54,Extremely long,True,False,False,False,False
237,220,440,2000,33,0,0,33,Short,True,False,False,False,False
238,220,690,2000,32,0,0,32,Very short,True,False,False,False,False
239,220,940,2000,35,6,3,41,Short,False,False,False,True,False
240,220,3190,2000,37,0,0,37,Short,True,False,False,False,False
241,220,3440,2000,26,0,0,26,Extremely short,True,False,False,False,False
242,220,3690,2000,28,0,0,28,Very short,True,False,False,False,False
243,565,220,2000,38,0,0,38,Normal,True,False,False,False,False
244,815,220,2000,36,0,0,36,Short,True,False,False,False,False
245,1065,220,2000,33,0,0,33,Short,True,False,False,False,False
246,1315,220,2000,34,0,0,34,Short,True,False,False,False,False
247,1565,220,2000,33,0,0,33,Short,True,False,False,False,False
248,1815,220,2000,33,0,0,33,Short,True,False,False,False,False
249,2065,220,2000,39,0,0,39,Normal,True,False,False,False,False
250,2315,220,2000,35,0,0,35,Short,True,False,False,False,False
251,2565,220,2000,35,0,0,35,Short,True,False,False,False,False
252,2815,220,2000,36,0,0,36,Short,True,False,False,False,False
253,3065,220,2000,36,0,0,36,Short,True,False,False,False,False
254,3315,220,2000,35,0,0,35,Short,True,False,False,False,False
255,3565,220,2000,39,0,0,39,Normal,True,False,False,False,False
256,3815,220,2000,36,0,0,36,Short,True,False,False,False,False
257,4002,220,2000,34,15,3,49,Short,False,False,False,True,False
258,95,220,2250,32,0,0,32,Very short,True,False,False,False,False
259,252,220,2250,30,0,0,30,Very short,True,False,False,False,False
260,440,220,2250,32,0,0,32,Very short,True,False,False,False,False
261,690,220,2250,34,0,0,34,Short,True,False,False,False,False
262,940,220,2250,34,0,0,34,Short,True,False,False,False,False
263,1190,220,2250,33,0,0,33,Short,True,False,False,False,False
264,1440,220,2250,35,0,0,35,Short,True,False,False,False,False
265,1690,220,2250,34,20,1,54,Short,False,True,False,False,False
266,1940,220,2250,33,0,0,33,Short,True,False,False,False,False
267,2190,220,2250,37,0,0,37,Short,True,False,False,False,False
268,2440,220,2250,36,0,0,36,Short,True,False,False,False,False
269,2690,220,2250,36,0,0,36,Short,True,False,False,False,False
270,2940,220,2250,47,0,0,47,Long,True,False,False,False,False
271,3190,220,2250,38,0,0,38,Normal,True,False,False,False,False
272,3440,220,2250,37,0,0,37,Short,True,False,False,False,False
273,3690,220,2250,39,0,0,39,Normal,True,False,False,False,False
275,220,752,2250,41,41,3,82,Normal,False,False,False,True,False
276,220,3127,2250,44,0,0,44,Long,True,False,False,False,False
277,220,3315,2250,26,0,0,26,Extremely short,True,False,False,False,False
